id,identificador,credito_motorista,frete_ida,frete_volta,frete_extra,destinos_ida,destinos_volta,destinos_extra,data_ida,data_volta,status,transportador_ida,transportador_volta,veiculo_id,motorista_id,lucro_bruto,gasto_motorista,gasto_empresa,total_despesas_viagem,troco_da_viagem,destinos_ida_std,destinos_volta_std,media_e_km_id,km_inicial,km_total,lts_combustivel,preco_combustivel,km_final,media
1de6a2d5881180599764dc3a813a18ab,27/04/25 RRE 1J19 NV 22,2000.0,,,,,,,,,NAO INICIADA,MACTRANSPORTES,,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,0.0,0.0,0.0,0.0,2000.0,,,1de6a2d5881180fc83f4f5eec85b7a6e,145942.0,-145942.0,0.0,,,
1cf6a2d5881180518822d6e4f1b6bd0f,11/04/25 0D19 11/04/25 NV 12,,,,,,,,2025-04-12,2025-04-20,EM VIAGEM,MACTRANSPORTES,,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1cb6a2d588118018ab3df5cf1b1cf233,06/04/25 RRE 1J19 NV 21,28221.97,5692.05,16519.97,9702.0,PICOS,MACEIO,"GESSO MODERNO - CONCEICAO OURO 9702,00",2025-04-06,2025-04-20,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,12500.17,17218.82,2195.03,19413.85,11003.15,Picos - PI - Brasil,Maceió - AL - Brasil,1de6a2d58811807da263c873e5ac6f23,139252.0,6690.0,2592.05,5.79,145942.0,2.58
1bc6a2d588118065bf6cc7f3131fcb1c,RRD 0D19 24/03/25 NV 11,2800.0,12259.8,22250.0,,IMPERATRIZ,ITABAIANA,,2025-03-23,2025-04-05,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,19556.61,2564.11,12389.08,14953.19,235.89,Imperatriz - MA - Brasil,Itabaiana - PB - Brasil,1cf6a2d588118026bd60eb2c9c010223,53999.0,4997.0,2038.38,6.08,58996.0,2.45
1bc6a2d5881180a89af0c5d51f39ca03,RRD 0D19 26/02/25 NV 10,7700.0,12232.08,18240.0,5200.0,SAO LUIZ - MA ,SRA  DA GLORIA,FC OLIVEIRA - RONALDO ,2025-02-26,2025-03-19,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,17472.06,6891.53,11308.49,18200.02,808.47,São Luiz - RR - Brasil,Nossa Senhora da Glória - SE - Brasil,1cf6a2d5881180578f96e3d48888c902,48381.0,5618.0,2450.23,6.13,53999.0,2.29
1a76a2d58811809e9ad9eefbaa0f7dcd,27/02/25 RRE 1J19 NV 20,22880.0,5502.32,19140.0,46226.53,PETROLINA,RECIFE ,"GESSO -  SOROCABA 10,240,00 - GESSO 8,640,00  SAO JOAO DEU  REY - TWF RECIFE - ARACAJU 3200,00 - GAO 5000,00 - TERMACO 19146,53",2025-02-27,2025-04-03,FIM DE VIAGEM,MACTRANSPORTES,RODO PC - ELIANE,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,31783.19,23772.07,15313.59,39085.66,-892.07,Petrolina - PE - Brasil,Recife - PE - Brasil,1a76a2d5881180209994db1b48cbcd52,125414.0,13838.0,5257.85,6.02,139252.0,2.63
1926a2d5881180c5ac80f94d977cbc3d,07/02/25 RRE 1J19 NV 19,11915.58,7892.81,17280.0,10967.75,FORTALEZA - PAG,SRA DA GLORIA,"COOTROVALE -    FORTALEZA - TIMON 5767,75 -  / CODO - BELEM 5200,00",2025-02-07,2025-02-26,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18806.62,12368.01,4965.93,17333.94,-452.43,Fortaleza - CE - Brasil,Nossa Senhora da Glória - SE - Brasil,1a76a2d58811800cbb10fccb7a8cc834,120126.0,5288.0,2157.9,6.11,125414.0,2.45
18c6a2d588118032bf44d56cd516f019,RRD 0D19 31/01/25 NV 09,2000.0,7251.51,17000.0,11825.9,FORTALEZA - FIACAO,ITABAIANA,HIDROTINTAS - PINHEIRO MA,2025-01-31,2025-02-21,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,18512.35,2820.7,14744.36,17565.06,-820.7,Fortaleza de Minas - MG - Brasil,Itabaiana - PB - Brasil,1cf6a2d588118040a4aaf8a34ef2758a,43144.0,5237.0,2119.83,6.22,48381.0,2.47
18c6a2d58811807aa4a3fb29c176d47d,RRD OD19 22/01/25 NV 08,5405.0,7800.0,6400.0,,FORTALEZA,SANTANA DO IPANEMA,,2025-01-22,2025-01-30,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,7513.68,4690.32,1996.0,6686.32,714.68,Fortaleza - CE - Brasil,Santana do Ipanema - AL - Brasil,18c6a2d5881180e394eeef8e319c7951,40195.0,2949.0,909.05,5.89,43144.0,3.24
1816a2d5881180219543d623289bface,21/01/25 RRE 1J19 NV 18,12455.0,7800.0,6400.0,13551.6,FORTALEZA,NRA SENHORA DO SOCORRO,"PAPELAO RIBEIROPOLIS - 5500,00 - MAC TRANSPORTES 8051,60- ",2025-01-21,2025-02-01,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,14574.0,8507.17,4670.43,13177.6,3947.83,Fortaleza - CE - Brasil,Nossa Senhora do Socorro - SE - Brasil,1816a2d5881180bfa7d7f3f84b72cf65,115354.0,4772.0,1737.01,6.0,120126.0,2.75
1776a2d58811806bb169f639e1cf4f16,09/01/25 RRE 1J19 NV 17,2000.0,9000.0,6400.0,,FORTALEZA,MOITA BONITA,,2025-01-09,2025-01-18,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,8431.9,1504.7,5463.4,6968.1,495.3,Fortaleza - CE - Brasil,Moita Bonita - SE - Brasil,1786a2d58811805fbe8ede2f498de9b4,112953.0,2401.0,936.94,5.87,115354.0,2.56
1716a2d588118034be44f9b1bb6fe610,27/12/24 RRE 1J19 NV 16 ,2967.91,9000.0,7275.0,,FORTALEZA,ITABAIANA,,2024-12-27,2025-01-03,FIM DE VIAGEM,TRANSBRASIL,FORT DISTRIBUIDORA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,9418.0,4517.0,2340.0,6857.0,-1549.09,Fortaleza - CE - Brasil,Itabaiana - PB - Brasil,1776a2d5881180f5948be947fbdcfd21,110550.0,2403.0,904.12,5.84,112953.0,2.66
16c6a2d5881180ecbdfee094be3e2660,RRD 0D19 02/01/25 NV 07 ,1720.0,13500.0,18000.0,2000.0,BELEM - MATHEUS,ITABAIANA,DIARIAS A ACRECENTAR,2025-01-02,2025-01-21,FIM DE VIAGEM,GAO TRANSPORTES,MADEREIRA BARBOSA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,20292.76,1815.0,11392.24,13207.24,-95.0,Belém do Piauí - PI - Brasil,Itabaiana - PB - Brasil,16c6a2d588118090ba9eda5843d25630,36195.0,4440.0,1840.77,5.96,40635.0,2.41
15e6a2d5881180ff849dd646e1ee6bd6,17/12/24 RRE 1J19 NV 15,7640.0,9000.0,6400.0,,FORTALEZA,BATALHA - CRAIBAS - AL ,,2024-12-17,2024-12-23,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,8151.89,4672.09,2576.02,7248.11,2967.91,Fortaleza - CE - Brasil,Batalha - Craibas - AL ,1606a2d588118064bbd0fb2a729f5362,107883.0,2667.0,970.01,5.84,110550.0,2.75
1506a2d588118097b5e9c878f725e2df,RRD 0D19 07/12/24 NV 06,8800.0,9495.0,18000.0,5200.0,TEREZINA,ITABAIANA,FC - SABAO,2024-12-07,2024-12-23,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA  SAO JOSE,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,18104.81,7826.59,6763.6,14590.19,973.41,Terezinha - PE - Brasil,Itabaiana - PB - Brasil,1526a2d5881180a88994c03b9b5ec3db,31872.0,4323.0,1970.16,5.88,36195.0,2.19
1476a2d588118075b76dc927c431c511,24/11/24 RRE 1J19 NV 14,20410.82,4500.0,20475.49,16884.0,FLORESTA,FORTALEZA,"GESSO FERNANDO ( 03 PONTAS MG) 9625,00 - HIDROTINTAS - 7259,00",2024-11-24,2024-12-14,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,19594.68,20771.78,1493.03,22264.81,-360.96,Floresta - PE - Brasil,Fortaleza - CE - Brasil,1606a2d588118083bdcfc807f8d706c7,99915.0,7968.0,3082.96,5.84,107883.0,2.58
1366a2d58811800f9674cef7a4068866,05/11/24 RRE 1J19 NV 13,18172.8,8100.0,21003.67,10133.0,TEREZINA PAG,RECIFE,GESSO / FERNANDO,2024-11-05,2024-11-22,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17573.28,18458.36,3205.03,21663.39,-285.56,Terezinha - PE - Brasil,Recife - PE - Brasil,1606a2d5881180b6b449e2a2c2bab430,91714.0,8201.0,3112.73,5.8,99915.0,2.63
1366a2d58811800b9e00d6ee50a39bcb,RRD 0D19 07/11/24 NV 05 ,2920.0,4500.0,6400.0,36471.62,FLORESTA,SOCORRO / SE,FERNANDO - MANGA  / TERMACO - ( JOAO PESSOA) - CAMIL - FORTALEZA,2024-11-05,2024-11-29,FIM DE VIAGEM,MACTRANSPORTES,TRANSVIANA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,23555.01,3120.0,20696.61,23816.61,-200.0,Floresta - PE - Brasil,Socorro - SP - Brasil,1466a2d58811807881fdd6df9a547770,23314.0,8558.0,3056.88,5.81,31872.0,2.8
1226a2d588118042b79bcc1b26f14353, RRD 0D19 19/10/24 NV 04,3000.0,9551.31,17458.94,9280.0,FLORIANO  PAG,MACEIO,FERNADO/ ITAPEVA,2024-10-19,2024-11-05,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,16822.09,3084.0,16384.16,19468.16,-84.0,Floriano - PI - Brasil,Maceió - AL - Brasil,1266a2d58811804a8156e75531593546,16528.0,6786.0,2746.69,5.73,23314.0,2.47
1216a2d588118016a91cdeb35c276406,03/10/24 RRE 1J19 NV 12,26328.0,4860.0,20890.42,39122.0,PETROLINA,JOAO PESSOA,FERNANDO GESSO/  TERMARCO RN / SAL POTIGUAR / ,2024-10-03,2024-11-03,FIM DE VIAGEM,MACTRANSPORTES,TERMACO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,29126.91,27916.53,7828.98,35745.51,-1588.53,Petrolina - PE - Brasil,João Pessoa - PB - Brasil,1606a2d58811803c81b4e13658906505,78546.0,13168.0,5026.84,5.74,91714.0,2.62
10e6a2d58811802193bfe5dee6800ef7,RRD 0D19 28/09/24 NV 03,4300.0,6975.0,17555.57,17400.0,FORTALEZA,MACEIO/AL,"AR TRANSPORTES   4600 FARINHA ( TALITA) / PETROLINA 12,800        ( TALITA) 12,500 DEP",2024-09-28,2024-10-14,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,20232.63,4150.4,17547.54,21697.94,149.6,Fortaleza - CE - Brasil,Maceió - AL - Brasil,10e6a2d588118092a14ece8fd6623e7c,8875.0,7653.0,2923.25,5.68,16528.0,2.62
10e6a2d58811807684b7fe51a17d0aa2,RRD 0D19 14/09/24 NV 02,2000.0,9800.0,7200.0,3000.0,FORTALEZA,SRA DO SOCORRO,DIARIAS GAO/ MAC TRANSPORTES,2024-09-14,2024-09-24,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,11853.42,2392.0,5754.58,8146.58,-392.0,Fortaleza - CE - Brasil,Nossa Senhora do Socorro - SE - Brasil,10e6a2d588118032b650d073d609d038,6478.0,2397.0,972.22,5.55,8875.0,2.47
10c6a2d588118039abc2c3cd95d62557,17/09/24 RRE 1J19 NV 11,2000.0,10100.0,16585.25,9600.0,TEREZINA,ARACAJU,JOAO AUGUSTO/ VAGINHA,2024-09-17,2024-09-30,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18020.22,2729.97,15535.06,18265.03,-729.97,Terezinha - PE - Brasil,Aracaju - SE - Brasil,10c6a2d5881180559f17c8dd30170161,71768.0,6778.0,2675.36,5.68,78546.0,2.53
1056a2d5881180349108e22eca7aaf29,RRD 0D19 16/08/24 NV 01,4500.0,,26271.0,3500.0,,RECIFE / JOAO PESSOA,GAO TRANSPORTES/ RECIFE /MACEIO,2024-08-16,2024-09-04,FIM DE VIAGEM,,QUALITA TRANSPORTES,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,6130.15,5489.1,18151.75,23640.85,-989.1,,Coronel João Pessoa - RN - Brasil,1066a2d5881180a6b323eadeb33f985a,25.0,6453.0,3232.71,5.6,6478.0,2.0
6e07bb3d8608468a950ad21a33765063,01/09/24 RRE 1J19 NV 10,4800.0,8188.0,17555.0,12200.0,TEREZINA,MACEIO,RODOGESSO/ JAV,2024-08-31,2024-09-12,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,19860.82,5297.6,12784.58,18082.18,-497.6,Terezinha - PE - Brasil,Maceió - AL - Brasil,8cbd5d1c3c2244759bb59f1ef9c1eb82,64538.0,7230.0,2658.55,5.68,71768.0,2.72
b27b0041b3f3430f8faf320d051b0ce6,07/08/24 RRE 1J19 NV 09,7965.0,6975.0,17555.57,14703.0,FORTALEZA,MACEIO,CE -PI / PE- MG GESSO,2024-08-07,2024-08-27,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17604.68,8170.69,13458.2,21628.89,-205.69,Fortaleza - CE - Brasil,Maceió - AL - Brasil,75074aa6009248ef9afd24a1e9127eb8,56531.0,8007.0,3125.89,5.73,64538.0,2.56
8187425dcc2a4d98b0cd2d0cd8ba8d6a,19/07/24 RRE 1J19  NV 08,4200.0,6975.0,16250.0,12400.0,FORTALEZA,N. SRA. SOCORRO,FORTALEZA / BELEM / FERNANDO ,2024-07-19,2024-08-04,FIM DE VIAGEM,MACTRANSPORTES,BARATAO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18685.39,3573.36,13366.25,16939.61,626.64,Fortaleza - CE - Brasil,Nossa Senhora do Socorro - SE - Brasil,92cb66ec3f42484eb4c6bea698428fd7,51215.0,5316.0,2245.91,5.73,56531.0,2.37
a6ba89fe03d34667ad009471777096be,12/06/24 RRE 1J19 NV 07,66917.74,6975.0,17360.67,47934.07,FORTALEZA,ARACAJU,SAL  MG / TEMARCO FORTALEZA/ SAL MG ,2024-06-12,2024-07-11,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,31620.62,39295.12,1354.0,40649.12,27622.62,Fortaleza - CE - Brasil,Aracaju - SE - Brasil,19605d5d6d294892b6fdcff33ebe8f26,37673.0,13542.0,5827.61,5.68,51215.0,2.32
06eeb38e584a42ab8bec058a4aaade4d,27/05/24 RRE 1J19 NV 06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,8750.0,6300.0,16800.0,6270.0,PICOS,ITABAIANA,FC  OLIVEIRA/ CASTANHA,2024-05-27,2024-06-10,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA PRECO BOM,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,15184.02,8067.6,6118.38,14185.98,682.4,Picos - PI - Brasil,Itabaiana - PB - Brasil,a57943884d0e495fb1b81e96dd6426da,33182.0,4491.0,1929.14,5.52,37673.0,2.33
987a4de3aad149f88c9d5097114602b2,10/05/24 RRE 1J19 NV 05,2000.0,11806.11,18800.0,,SANTA INES ,NSA  DA GLORIA,,2024-05-10,2024-05-22,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17724.53,1350.0,11531.58,12881.58,650.0,Santa Inês - MA - Brasil,Nossa Senhora da Glória - SE - Brasil,64958925ecc14304873a01baee15a521,28906.0,4276.0,1948.96,5.64,33182.0,2.19
2b3f1432777e4263a9b20f2415fc917d,19/04/24 RRE 1J19 NV  04,29563.15,6975.0,15825.0,12000.0,FORTALEZA,ARACAJU,SAL/ MG,2024-04-19,2024-05-04,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,13538.76,17399.43,3861.81,21261.24,12163.72,Fortaleza - CE - Brasil,Aracaju - SE - Brasil,926c67943eed4a568c8b7f8e4a0d35ec,21929.0,6977.0,2993.16,5.66,28906.0,2.33
9dc4d80502f740599dba9f3f7d9ea722,07/04/24 RRE 1J19 NV 03,2000.0,8760.02,7360.0,,FORTALEZA,ALAGOAS/ MAJOR  IZIDORIO,,2024-04-07,2024-04-13,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,7617.16,1973.0,6529.86,8502.86,27.0,Fortaleza - CE - Brasil,Major Isidoro - AL - Brasil,04ce8085ea17471baa8ea14ae3888cde,19074.0,2855.0,1085.0,5.47,21929.0,2.63
05af2257ba2442c4abdba88ed5bd6111,26/02/24 RRE 1J19 NV 02,20600.0,8601.6,16700.0,42200.0,FORTALEZA,MACEIO,SAL POTYGUAR /  03 CORACOES/GAO/ SAL SOCEL ,2024-02-26,2024-03-31,FIM DE VIAGEM,MACTRANSPORTES,TRANSUL / CAFE MELITA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,30732.89,20133.79,16634.92,36768.71,466.21,Fortaleza - CE - Brasil,Maceió - AL - Brasil,3f759140333e41a987e92e5c5e43d429,5702.0,13372.0,5270.9,5.62,19074.0,2.54
563f2c278e824daf83f5b7d7fbf61a25,01/02/24 RRE 1J19 NV 01,27500.0,,19500.0,5000.0,,FORTALEZA,ALGENIR / SAL,2024-02-01,2024-02-20,FIM DE VIAGEM,,DOLCI & DOLCI TRANPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,1568.93,15716.4,7214.67,22931.07,11783.6,,Fortaleza - CE - Brasil,69f1cbdb54ac49e2b457d207683f9283,40.0,5662.0,2748.17,5.94,5702.0,2.06
