id,identificador,credito_motorista,frete_ida,frete_volta,frete_extra,destinos_ida,destinos_volta,destinos_extra,data_ida,data_volta,status,transportador_ida,transportador_volta,veiculo_id,motorista_id,lucro_bruto,gasto_motorista,gasto_empresa,total_despesas_viagem,troco_da_viagem,destinos_ida_origem_standard,destinos_ida_destino_standard,destinos_volta_origem_standard,destinos_volta_destino_standard
1ec6a2d5881180c89c97cf739e9bbb0d,12/05/25 RRE 1J19 NV23,2000.0,,,,FORTALEZA,,,2025-05-12,,EM VIAGEM,MACTRANSPORTES,,809e3a0391cb4d44a91d360e71c9cc12,1f26a2d58811808e9f77c09a15f7bb65,0.0,0.0,0.0,0.0,2000.0,Fortaleza - CE - Brasil,,,
1ec6a2d58811804d9790cecaf7c15a96,10/05/25  RRE 1J19 NV 23,2000.0,,,,,,,,,EM VIAGEM,,,97ad475571fa43128b59e86abdbc9cf3,1f26a2d58811808e9f77c09a15f7bb65,0.0,0.0,0.0,0.0,2000.0,,,,
1de6a2d5881180599764dc3a813a18ab,27/04/25 RRE 1J19 NV 22,2000.0,5254.2,,,FLORESTA,,,2025-04-27,2025-05-03,FIM DE VIAGEM,MACTRANSPORTES,,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,2648.2,860.0,1746.0,2606.0,1140.0,Floresta - PE - Brasil,,,
1cf6a2d5881180518822d6e4f1b6bd0f,11/04/25 0D19 11/04/25 NV 12,13708.0,7000.0,19000.0,11208.96,FORTALEZA,ITABAIANA,STA TRANSPORTES FORTALEZA - BELEM ,2025-04-12,2025-04-29,FIM DE VIAGEM,GAO TRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,20607.45,12939.71,3661.8,16601.51,768.29,Fortaleza - CE - Brasil,,Itabaiana - PB - Brasil,
1cb6a2d588118018ab3df5cf1b1cf233,06/04/25 RRE 1J19 NV 21,28221.97,5692.05,16519.97,9702.0,PICOS,MACEIO,"GESSO MODERNO - CONCEICAO OURO 9702,00",2025-04-06,2025-04-20,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,12500.17,17218.82,2195.03,19413.85,11003.15,Picos - PI - Brasil,,Maceió - AL - Brasil,
1bc6a2d588118065bf6cc7f3131fcb1c,RRD 0D19 24/03/25 NV 11,2800.0,12259.8,22250.0,,IMPERATRIZ,ITABAIANA,,2025-03-23,2025-04-05,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,19556.61,2564.11,12389.08,14953.19,235.89,Imperatriz - MA - Brasil,,Itabaiana - PB - Brasil,
1bc6a2d5881180a89af0c5d51f39ca03,RRD 0D19 26/02/25 NV 10,7700.0,12232.08,18240.0,5200.0,SAO LUIZ - MA ,SRA  DA GLORIA,FC OLIVEIRA - RONALDO ,2025-02-26,2025-03-19,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,17472.06,6891.53,11308.49,18200.02,808.47,São Luiz - RR - Brasil,Mauá - SP - Brasil,Nossa Senhora da Glória - SE - Brasil,
1a76a2d58811809e9ad9eefbaa0f7dcd,27/02/25 RRE 1J19 NV 20,22880.0,5502.32,19140.0,46226.53,PETROLINA,RECIFE ,"GESSO -  SOROCABA 10,240,00 - GESSO 8,640,00  SAO JOAO DEU  REY - TWF RECIFE - ARACAJU 3200,00 - GAO 5000,00 - TERMACO 19146,53",2025-02-27,2025-04-03,FIM DE VIAGEM,MACTRANSPORTES,RODO PC - ELIANE,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,31783.19,23772.07,15313.59,39085.66,-892.07,Petrolina - PE - Brasil,,Recife - PE - Brasil,
1926a2d5881180c5ac80f94d977cbc3d,07/02/25 RRE 1J19 NV 19,11915.58,7892.81,17280.0,10967.75,FORTALEZA - PAG,SRA DA GLORIA,"COOTROVALE -    FORTALEZA - TIMON 5767,75 -  / CODO - BELEM 5200,00",2025-02-07,2025-02-26,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18806.62,12368.01,4965.93,17333.94,-452.43,Fortaleza - CE - Brasil,Poá - SP - Brasil,Nossa Senhora da Glória - SE - Brasil,
18c6a2d588118032bf44d56cd516f019,RRD 0D19 31/01/25 NV 09,2000.0,7251.51,17000.0,11825.9,FORTALEZA - FIACAO,ITABAIANA,HIDROTINTAS - PINHEIRO MA,2025-01-31,2025-02-21,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,18512.35,2820.7,14744.36,17565.06,-820.7,Fortaleza - CE - Brasil,Riachão - MA - Brasil,Itabaiana - PB - Brasil,
18c6a2d58811807aa4a3fb29c176d47d,RRD OD19 22/01/25 NV 08,5405.0,7800.0,6400.0,,FORTALEZA,SANTANA DO IPANEMA,,2025-01-22,2025-01-30,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,7513.68,4690.32,1996.0,6686.32,714.68,Fortaleza - CE - Brasil,,Santana do Ipanema - AL - Brasil,
1816a2d5881180219543d623289bface,21/01/25 RRE 1J19 NV 18,12455.0,7800.0,6400.0,13551.6,FORTALEZA,NRA SENHORA DO SOCORRO,"PAPELAO RIBEIROPOLIS - 5500,00 - MAC TRANSPORTES 8051,60- ",2025-01-21,2025-02-01,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,14574.0,8507.17,4670.43,13177.6,3947.83,Fortaleza - CE - Brasil,,Nossa Senhora do Socorro - SE - Brasil,
1776a2d58811806bb169f639e1cf4f16,09/01/25 RRE 1J19 NV 17,2000.0,9000.0,6400.0,,FORTALEZA,MOITA BONITA,,2025-01-09,2025-01-18,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,8431.9,1504.7,5463.4,6968.1,495.3,Fortaleza - CE - Brasil,,Moita Bonita - SE - Brasil,
1716a2d588118034be44f9b1bb6fe610,27/12/24 RRE 1J19 NV 16 ,2967.91,9000.0,7275.0,,FORTALEZA,ITABAIANA,,2024-12-27,2025-01-03,FIM DE VIAGEM,TRANSBRASIL,FORT DISTRIBUIDORA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,9418.0,4517.0,2340.0,6857.0,-1549.09,Fortaleza - CE - Brasil,,Itabaiana - PB - Brasil,
16c6a2d5881180ecbdfee094be3e2660,RRD 0D19 02/01/25 NV 07 ,1720.0,13500.0,18000.0,2000.0,BELEM - MATHEUS,ITABAIANA,DIARIAS A ACRECENTAR,2025-01-02,2025-01-21,FIM DE VIAGEM,GAO TRANSPORTES,MADEREIRA BARBOSA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,20292.76,1815.0,11392.24,13207.24,-95.0,Belém - PA - Brasil,Matões - MA - Brasil,Itabaiana - PB - Brasil,
15e6a2d5881180ff849dd646e1ee6bd6,17/12/24 RRE 1J19 NV 15,7640.0,9000.0,6400.0,,FORTALEZA,BATALHA - CRAIBAS - AL ,,2024-12-17,2024-12-23,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,8151.89,4672.09,2576.02,7248.11,2967.91,Fortaleza - CE - Brasil,,Batalha - PI - Brasil,Craíbas - AL - Brasil
1506a2d588118097b5e9c878f725e2df,RRD 0D19 07/12/24 NV 06,8800.0,9495.0,18000.0,5200.0,TEREZINA,ITABAIANA,FC - SABAO,2024-12-07,2024-12-23,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA  SAO JOSE,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,18104.81,7826.59,6763.6,14590.19,973.41,Terezinha - PE - Brasil,,Itabaiana - PB - Brasil,
1476a2d588118075b76dc927c431c511,24/11/24 RRE 1J19 NV 14,20410.82,4500.0,20475.49,16884.0,FLORESTA,FORTALEZA,"GESSO FERNANDO ( 03 PONTAS MG) 9625,00 - HIDROTINTAS - 7259,00",2024-11-24,2024-12-14,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,19594.68,20771.78,1493.03,22264.81,-360.96,Floresta - PE - Brasil,,Fortaleza - CE - Brasil,
1366a2d58811800f9674cef7a4068866,05/11/24 RRE 1J19 NV 13,18172.8,8100.0,21003.67,10133.0,TEREZINA PAG,RECIFE,GESSO / FERNANDO,2024-11-05,2024-11-22,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17573.28,18458.36,3205.03,21663.39,-285.56,Terezinha - PE - Brasil,,Recife - PE - Brasil,
1366a2d58811800b9e00d6ee50a39bcb,RRD 0D19 07/11/24 NV 05 ,2920.0,4500.0,6400.0,36471.62,FLORESTA,SOCORRO / SE,FERNANDO - MANGA  / TERMACO - ( JOAO PESSOA) - CAMIL - FORTALEZA,2024-11-05,2024-11-29,FIM DE VIAGEM,MACTRANSPORTES,TRANSVIANA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,23555.01,3120.0,20696.61,23816.61,-200.0,Floresta - PE - Brasil,,Socorro - SP - Brasil,
1226a2d588118042b79bcc1b26f14353, RRD 0D19 19/10/24 NV 04,3000.0,9551.31,17458.94,9280.0,FLORIANO  PAG,MACEIO,FERNADO/ ITAPEVA,2024-10-19,2024-11-05,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,16822.09,3084.0,16384.16,19468.16,-84.0,Floriano - PI - Brasil,,Maceió - AL - Brasil,
1216a2d588118016a91cdeb35c276406,03/10/24 RRE 1J19 NV 12,26328.0,4860.0,20890.42,39122.0,PETROLINA,JOAO PESSOA,FERNANDO GESSO/  TERMARCO RN / SAL POTIGUAR / ,2024-10-03,2024-11-03,FIM DE VIAGEM,MACTRANSPORTES,TERMACO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,29126.91,27916.53,7828.98,35745.51,-1588.53,Petrolina - PE - Brasil,,João Pessoa - PB - Brasil,
10e6a2d58811802193bfe5dee6800ef7,RRD 0D19 28/09/24 NV 03,4300.0,6975.0,17555.57,17400.0,FORTALEZA,MACEIO/AL,"AR TRANSPORTES   4600 FARINHA ( TALITA) / PETROLINA 12,800        ( TALITA) 12,500 DEP",2024-09-28,2024-10-14,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,20232.63,4150.4,17547.54,21697.94,149.6,Fortaleza - CE - Brasil,,Maceió - AL - Brasil,
10e6a2d58811807684b7fe51a17d0aa2,RRD 0D19 14/09/24 NV 02,2000.0,9800.0,7200.0,3000.0,FORTALEZA,SRA DO SOCORRO,DIARIAS GAO/ MAC TRANSPORTES,2024-09-14,2024-09-24,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,11853.42,2392.0,5754.58,8146.58,-392.0,Fortaleza - CE - Brasil,,Nossa Senhora do Socorro - SE - Brasil,
10c6a2d588118039abc2c3cd95d62557,17/09/24 RRE 1J19 NV 11,2000.0,10100.0,16585.25,9600.0,TEREZINA,ARACAJU,JOAO AUGUSTO/ VAGINHA,2024-09-17,2024-09-30,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18020.22,2729.97,15535.06,18265.03,-729.97,Terezinha - PE - Brasil,,Aracaju - SE - Brasil,
1056a2d5881180349108e22eca7aaf29,RRD 0D19 16/08/24 NV 01,4500.0,,26271.0,3500.0,,RECIFE / JOAO PESSOA,GAO TRANSPORTES/ RECIFE /MACEIO,2024-08-16,2024-09-04,FIM DE VIAGEM,,QUALITA TRANSPORTES,97ad475571fa43128b59e86abdbc9cf3,347639855058412985083f175919fde9,6130.15,5489.1,18151.75,23640.85,-989.1,,,Recife - PE - Brasil,
6e07bb3d8608468a950ad21a33765063,01/09/24 RRE 1J19 NV 10,4800.0,8188.0,17555.0,12200.0,TEREZINA,MACEIO,RODOGESSO/ JAV,2024-08-31,2024-09-12,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,19860.82,5297.6,12784.58,18082.18,-497.6,Terezinha - PE - Brasil,,Maceió - AL - Brasil,
b27b0041b3f3430f8faf320d051b0ce6,07/08/24 RRE 1J19 NV 09,7965.0,6975.0,17555.57,14703.0,FORTALEZA,MACEIO,CE -PI / PE- MG GESSO,2024-08-07,2024-08-27,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17604.68,8170.69,13458.2,21628.89,-205.69,Fortaleza - CE - Brasil,,Maceió - AL - Brasil,
8187425dcc2a4d98b0cd2d0cd8ba8d6a,19/07/24 RRE 1J19  NV 08,4200.0,6975.0,16250.0,12400.0,FORTALEZA,N. SRA. SOCORRO,FORTALEZA / BELEM / FERNANDO ,2024-07-19,2024-08-04,FIM DE VIAGEM,MACTRANSPORTES,BARATAO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18685.39,3573.36,13366.25,16939.61,626.64,Fortaleza - CE - Brasil,,Nossa Senhora do Socorro - SE - Brasil,
a6ba89fe03d34667ad009471777096be,12/06/24 RRE 1J19 NV 07,66917.74,6975.0,17360.67,47934.07,FORTALEZA,ARACAJU,SAL  MG / TEMARCO FORTALEZA/ SAL MG ,2024-06-12,2024-07-11,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,31620.62,39295.12,1354.0,40649.12,27622.62,Fortaleza - CE - Brasil,,Aracaju - SE - Brasil,
06eeb38e584a42ab8bec058a4aaade4d,27/05/24 RRE 1J19 NV 06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,8750.0,6300.0,16800.0,6270.0,PICOS,ITABAIANA,FC  OLIVEIRA/ CASTANHA,2024-05-27,2024-06-10,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA PRECO BOM,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,15184.02,8067.6,6118.38,14185.98,682.4,Picos - PI - Brasil,,Itabaiana - PB - Brasil,
987a4de3aad149f88c9d5097114602b2,10/05/24 RRE 1J19 NV 05,2000.0,11806.11,18800.0,,SANTA INES ,NSA  DA GLORIA,,2024-05-10,2024-05-22,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,17724.53,1350.0,11531.58,12881.58,650.0,Santa Inês - MA - Brasil,,Nossa Senhora da Glória - SE - Brasil,
2b3f1432777e4263a9b20f2415fc917d,19/04/24 RRE 1J19 NV  04,29563.15,6975.0,15825.0,12000.0,FORTALEZA,ARACAJU,SAL/ MG,2024-04-19,2024-05-04,FIM DE VIAGEM,MACTRANSPORTES,TAMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,13538.76,17399.43,3861.81,21261.24,12163.72,Fortaleza - CE - Brasil,,Aracaju - SE - Brasil,
9dc4d80502f740599dba9f3f7d9ea722,07/04/24 RRE 1J19 NV 03,2000.0,8760.02,7360.0,,FORTALEZA,ALAGOAS/ MAJOR  IZIDORIO,,2024-04-07,2024-04-13,FIM DE VIAGEM,MACTRANSPORTES,AR TRANSPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,7617.16,1973.0,6529.86,8502.86,27.0,Fortaleza - CE - Brasil,,Alagoa - MG - Brasil,
05af2257ba2442c4abdba88ed5bd6111,26/02/24 RRE 1J19 NV 02,20600.0,8601.6,16700.0,42200.0,FORTALEZA,MACEIO,SAL POTYGUAR /  03 CORACOES/GAO/ SAL SOCEL ,2024-02-26,2024-03-31,FIM DE VIAGEM,MACTRANSPORTES,TRANSUL / CAFE MELITA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,30732.89,20133.79,16634.92,36768.71,466.21,Fortaleza - CE - Brasil,,Maceió - AL - Brasil,
563f2c278e824daf83f5b7d7fbf61a25,01/02/24 RRE 1J19 NV 01,27500.0,,19500.0,5000.0,,FORTALEZA,ALGENIR / SAL,2024-02-01,2024-02-20,FIM DE VIAGEM,,DOLCI & DOLCI TRANPORTES,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,1568.93,15716.4,7214.67,22931.07,11783.6,,,Fortaleza - CE - Brasil,
